API Key,depth,2022
CurrentFederalTaxExpenseBenefit,2,26900000
CurrentStateAndLocalTaxExpenseBenefit,2,23800000
DeferredFederalIncomeTaxExpenseBenefit,2,108800000
DeferredStateAndLocalIncomeTaxExpenseBenefit,2,-3600000
NetIncomeLoss,2,1886700000
ProfitLoss,3,1931100000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,4,1945400000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5,2423800000
OperatingIncomeLoss,7,2237600000
Revenues,9,8856300000
CostOfGoodsAndServicesSold,10,5858100000
ResearchAndDevelopmentExpense,10,83900000
AmortizationOfIntangibleAssets,12,34500000
RestructuringCharges,11,0
EnvironmentalRemediationExpense,12,18300000
EquityMethodInvestmentOtherThanTemporaryImpairment,12,14800000
AssetRetirementObligationAccretionExpense,11,10500000
SellingGeneralAndAdministrativeExpense,9,775900000
AllocatedShareBasedCompensationExpense,11,55800000
OperatingLeaseExpense,11,80100000
ProvisionForDoubtfulAccounts,9,7700000
GainLossOnDispositionOfAssets1,9,45800000
GainLossOnDispositionOfAssets,11,33800000
OtherNonoperatingIncomeExpense,8,30700000
IncomeLossFromEquityMethodInvestments,6,264800000
IncomeTaxExpenseBenefit,5,478400000
CurrentIncomeTaxExpenseBenefit,6,313400000
CurrentForeignTaxExpenseBenefit,7,262700000
CurrentFederalTaxExpenseBenefit,8,26900000
CurrentStateAndLocalTaxExpenseBenefit,8,23800000
DeferredIncomeTaxExpenseBenefit,6,165000000
DeferredForeignIncomeTaxExpenseBenefit,7,59800000
DeferredFederalIncomeTaxExpenseBenefit,8,108800000
DeferredStateAndLocalIncomeTaxExpenseBenefit,8,-3600000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,6,13000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,6,6100000
IncomeLossFromDiscontinuedOperationsNetOfTax,4,-14300000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,5,-19000000
NetIncomeLossAttributableToNoncontrollingInterest,3,44400000
