API Key,depth,2022
Assets,0,13708000000
AssetsCurrent,1,12386000000
CashAndCashEquivalentsAtCarryingValue,3,6067000000
ShortTermInvestments,3,2255000000
AccountsReceivableGrossCurrent,5,143000000
AllowanceForDoubtfulAccountsReceivableCurrent,5,31000000
FundsHeldForClients,2,3715000000
OperatingLeaseRightOfUseAsset,2,272000000
PropertyPlantAndEquipmentNet,2,157000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3,379000000
EquityMethodInvestments,5,17400000
Goodwill,3,656000000
IntangibleAssetsNetExcludingGoodwill,3,52000000
FiniteLivedIntangibleAssetsNet,4,52000000
FiniteLivedIntangibleAssetsAccumulatedAmortization,5,61000000
FiniteLivedIntangibleAssetsGross,5,113000000
OtherAssetsNoncurrent,2,188000000
LiabilitiesAndStockholdersEquity,0,13708000000
Liabilities,1,8933000000
LiabilitiesCurrent,2,6359000000
AccountsPayableCurrent,4,118000000
AccruedLiabilitiesCurrent,4,1559000000
OtherAccruedLiabilitiesCurrent,5,552000000
EmployeeRelatedLiabilitiesCurrent,5,416000000
DeferredRevenueCurrent,3,904000000
LongTermDebtNoncurrent,4,1983000000
OtherLiabilitiesNoncurrent,4,219000000
OperatingLeaseLiabilityNoncurrent,4,372000000
TemporaryEquityCarryingAmountAttributableToParent,2,3232000000
StockholdersEquity,2,-808000000
CommonStockValue,3,0
AdditionalPaidInCapital,3,11140000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3,-7000000
RetainedEarningsAccumulatedDeficit,3,-6358000000
