API Key,depth,2021,2022,2023
Assets,0,26859200000.0,27192600000.0,32002500000.0
AssetsCurrent,1,8376300000.0,6282900000.0,5200500000.0
CashAndCashEquivalentsAtCarryingValue,3,4468900000.0,2711000000.0,1617000000.0
ShortTermInvestments,3,1331900000.0,590700000.0,332200000.0
AccountsReceivableNetCurrent,4,1451300000.0,1794400000.0,1700400000.0
InventoryNet,3,453900000.0,514200000.0,651800000.0
PrepaidExpenseCurrent,2,119400000.0,156800000.0,177000000.0
ContractWithCustomerAssetNetCurrent,2,119400000.0,69000000.0,124700000.0
CapitalizedContractCostNetCurrent,2,125500000.0,84100000.0,89000000.0
DerivativeAssetsCurrent,3,59800000.0,114400000.0,73500000.0
OtherAssetsCurrent,2,550900000.0,515800000.0,722100000.0
AssetsNoncurrent,1,18482900000.0,20909700000.0,26802000000.0
OperatingLeaseRightOfUseAsset,2,566200000.0,694700000.0,974000000.0
IncomeTaxesReceivableNoncurrent,3,75000000.0,17000000.0,22200000.0
PropertyPlantAndEquipmentNet,2,13254600000.0,14160500000.0,17472100000.0
PropertyPlantAndEquipmentGross,3,27488800000.0,28160100000.0,32746300000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3,14234200000.0,13999600000.0,15274200000.0
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,4,1649300000.0,3353800000.0,4617800000.0
OtherLongTermInvestments,4,66900000.0,66700000.0,66900000.0
Goodwill,3,911500000.0,823000000.0,861700000.0
GoodwillGross,4,1239200000.0,1096000000.0,1158400000.0
IntangibleAssetsNetExcludingGoodwill,3,420700000.0,347500000.0,334600000.0
FiniteLivedIntangibleAssetsNet,4,380400000.0,314400000.0,297500000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization,5,288900000.0,279600000.0,327600000.0
FiniteLivedIntangibleAssetsGross,5,669300000.0,594000000.0,625100000.0
DerivativeAssetsNoncurrent,3,23600000.0,74700000.0,320600000.0
DeferredIncomeTaxAssetsNet,2,100200000.0,135700000.0,159600000.0
OtherAssetsNoncurrent,2,1506500000.0,1641800000.0,1229900000.0
LiabilitiesAndStockholdersEquity,0,26859200000.0,27192600000.0,32002500000.0
Liabilities,1,12771200000.0,13490200000.0,16342200000.0
LiabilitiesCurrent,2,2799100000.0,3465800000.0,3895800000.0
AccountsPayableAndAccruedLiabilitiesCurrent,3,2218300000.0,2771600000.0,2890100000.0
AccountsPayableTradeCurrent,5,736800000.0,1120700000.0,1212900000.0
EmployeeRelatedLiabilitiesCurrent,5,221200000.0,249100000.0,284400000.0
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,6,25600000.0,11100000.0,9600000.0
AccruedIncomeTaxesCurrent,6,93900000.0,135200000.0,131200000.0
DividendsPayableCurrent,6,,359400000.0,388900000.0
ContractWithCustomerLiabilityCurrent,4,366800000.0,439100000.0,413000000.0
ShortTermBorrowings,4,2400000.0,10700000.0,259500000.0
LongTermDebtAndCapitalLeaseObligationsCurrent,4,484500000.0,548300000.0,615000000.0
DerivativeLiabilitiesCurrent,4,68800000.0,228300000.0,98700000.0
OtherLiabilitiesCurrent,3,238400000.0,273900000.0,281500000.0
LiabilitiesNoncurrent,2,9972100000.0,10024400000.0,12446400000.0
LongTermDebtAndCapitalLeaseObligations,3,6875700000.0,6433800000.0,
TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityNoncurrent,6,157100000.0,134600000.0,109400000.0
ContractWithCustomerLiabilityNoncurrent,5,58400000.0,67200000.0,136900000.0
AssetRetirementObligationsNoncurrent,4,258000000.0,265000000.0,285100000.0
DeferredIncomeTaxLiabilitiesNet,4,1180900000.0,1247400000.0,1266000000.0
LiabilityForUncertainTaxPositionsNoncurrent,4,111800000.0,95600000.0,89600000.0
DefinedBenefitPensionPlanLiabilitiesNoncurrent,6,255300000.0,190000000.0,192300000.0
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,6,22100000.0,15000000.0,10300000.0
AccruedEnvironmentalLossContingenciesNoncurrent,4,68500000.0,61800000.0,50200000.0
OtherLiabilitiesNoncurrent,4,1640900000.0,1691200000.0,1118000000.0
OperatingLeaseLiabilityNoncurrent,4,503400000.0,592100000.0,631100000.0
DerivativeLiabilitiesNoncurrent,5,52700000.0,138200000.0,112700000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,14088000000.0,13702400000.0,15660300000.0
StockholdersEquity,2,13539700000.0,13144000000.0,14312900000.0
CommonStockValue,3,249400000.0,249400000.0,249400000.0
TreasuryStockValue,3,1987900000.0,1981000000.0,1967300000.0
AdditionalPaidInCapitalCommonStock,4,1115800000.0,1141400000.0,1190500000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3,-1515900000.0,-2786100000.0,-2449400000.0
RetainedEarningsAccumulatedDeficit,3,15678300000.0,16520300000.0,17289700000.0
MinorityInterest,2,548300000.0,558400000.0,1347400000.0
NetInvestmentInLeaseCurrent,2,84400000.0,,
NotesAndLoansReceivableNetCurrent,4,,,50000000.0
ValueAddedTaxReceivableCurrent,4,,,209600000.0
InterestPayableCurrent,6,,,106400000.0
RestructuringReserveCurrent,3,,,19800000.0
