API Key,depth,2021,2022,2023
CurrentFederalTaxExpenseBenefit,2,85600000.0,149100000.0,167600000.0
CurrentStateAndLocalTaxExpenseBenefit,2,28400000.0,30100000.0,41000000.0
DeferredFederalIncomeTaxExpenseBenefit,2,54700000.0,15600000.0,-12500000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit,2,-100000.0,-1900000.0,-5800000.0
NetIncomeLoss,2,2099100000.0,2256100000.0,2300200000.0
ProfitLoss,3,2114900000.0,2266500000.0,2338600000.0
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,4,2044600000.0,2253900000.0,2331200000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5,2507400000.0,2754700000.0,2882400000.0
OperatingIncomeLoss,7,2281400000.0,2338800000.0,2494600000.0
Revenues,9,10323000000.0,12698600000.0,12600000000.0
CostOfGoodsAndServicesSold,10,7186100000.0,9338500000.0,8833000000.0
ResearchAndDevelopmentExpense,10,93500000.0,102900000.0,105600000.0
AmortizationOfIntangibleAssets,12,37200000.0,35500000.0,32500000.0
RestructuringCharges,11,,73700000.0,244600000.0
EnvironmentalRemediationExpense,12,18600000.0,22300000.0,24900000.0
EquityMethodInvestmentOtherThanTemporaryImpairment,12,,14800000.0,14800000.0
AssetRetirementObligationAccretionExpense,11,10500000.0,11100000.0,11400000.0
SellingGeneralAndAdministrativeExpense,9,828400000.0,900600000.0,957000000.0
AllocatedShareBasedCompensationExpense,11,44500000.0,49500000.0,60700000.0
OperatingLeaseExpense,11,89500000.0,105300000.0,109900000.0
ProvisionForDoubtfulAccounts,9,2700000.0,7500000.0,8200000.0
GainLossOnDispositionOfAssets1,9,37200000.0,24100000.0,15800000.0
GainLossOnDispositionOfAssets,11,0.0,0.0,
OtherNonoperatingIncomeExpense,8,73700000.0,62400000.0,-39000000.0
IncomeLossFromEquityMethodInvestments,6,294100000.0,481500000.0,604300000.0
IncomeTaxExpenseBenefit,5,462800000.0,500800000.0,551200000.0
CurrentIncomeTaxExpenseBenefit,6,368800000.0,468500000.0,575900000.0
CurrentForeignTaxExpenseBenefit,7,254800000.0,289300000.0,367300000.0
CurrentFederalTaxExpenseBenefit,8,85600000.0,149100000.0,167600000.0
CurrentStateAndLocalTaxExpenseBenefit,8,28400000.0,30100000.0,41000000.0
DeferredIncomeTaxExpenseBenefit,6,94000000.0,32300000.0,-24700000.0
DeferredForeignIncomeTaxExpenseBenefit,7,39400000.0,18600000.0,-6400000.0
DeferredFederalIncomeTaxExpenseBenefit,8,54700000.0,15600000.0,-12500000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit,8,-100000.0,-1900000.0,-5800000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,6,11000000.0,12100000.0,14600000.0
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,6,-200000.0,1200000.0,5000000.0
IncomeLossFromDiscontinuedOperationsNetOfTax,4,70300000.0,12600000.0,7400000.0
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,5,-19000000.0,-19000000.0,-19000000.0
NetIncomeLossAttributableToNoncontrollingInterest,3,15800000.0,10400000.0,38400000.0
BusinessExitCosts1,12,,,217600000.0
SeveranceCosts1,12,,,27000000.0
