CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,1,2024,16034456746.131691,2968537877.119158,5887445292.881241,-2918907415.762083,2226403407.8393683
0000002969,1,2025,17475563847.22946,3235337125.907314,6416583220.858918,-3181246094.9516044,2426502844.4304852
0000002969,1,2026,20131975750.091003,3727131732.717244,7391950207.160397,-3664818474.4431524,2795348799.5379333
0000002969,1,2027,21633556266.89729,4005126722.523119,7943292437.55346,-3938165715.030341,3003845041.892339
0000002969,1,2028,19748346874.88827,3656108631.3533225,7251091427.141514,-3594982795.7881913,2742081473.5149918
0000002969,2,2024,9594498190.629858,1776276661.054148,3522856065.8039656,-1746579404.7498176,1332207495.790611
0000002969,2,2025,9789693286.660414,1812414089.6660907,3594526747.730613,-1782112658.0645225,1359310567.249568
0000002969,2,2026,12756630877.840439,2361697845.137967,4683910880.415952,-2322213035.2779846,1771273383.8534753
0000002969,2,2027,16051225755.170078,2971642406.276606,5893602447.120543,-2921960040.8439364,2228731804.7074547
0000002969,2,2028,19709737135.613804,3648960620.337009,7236914911.4447365,-3587954291.1077275,2736720465.2527566
0000002969,3,2024,12823445943.90901,2374067647.091789,4708443675.785765,-2334376028.693976,1780550735.3188415
0000002969,3,2025,19845712926.28189,3674134487.550616,7286841768.424644,-3612707280.8740287,2755600865.662962
0000002969,3,2026,22214403409.39716,4112661812.1508527,8156564756.605952,-4043902944.4550996,3084496359.1131396
0000002969,3,2027,26277512012.04944,4864885100.833945,9648435045.440119,-4783549944.6061735,3648663825.6254587
0000002969,3,2028,34138622260.204334,6320251122.728463,12534835081.3182,-6214583958.589736,4740188342.046348
0000002969,4,2024,12427162855.974636,2300701809.0580974,4562938590.228654,-2262236781.1705565,1725526356.793573
0000002969,4,2025,14221762622.241507,2632944894.3573613,5221870047.264928,-2588925152.9075665,1974708670.768021
0000002969,4,2026,17997044126.935074,3331881336.1032887,6608057535.623207,-3276176199.5199184,2498911002.0774665
0000002969,4,2027,16340774751.604805,3025248036.75147,5999917484.986068,-2974669448.2345977,2268936027.5636024
0000002969,4,2028,17735074260.44374,3283381565.661675,6511868853.850548,-3228487288.188873,2462536174.2462564
0000002969,5,2024,16656056248.964201,3083617651.7427607,6115680843.667298,-3032063191.9245377,2312713238.8070707
0000002969,5,2025,16780264939.445553,3106613017.797193,6161287120.305626,-3054674102.508433,2329959763.3478947
0000002969,5,2026,13965509662.906473,2585503523.0684066,5127780468.608769,-2542276945.540363,1939127642.3013048
0000002969,5,2027,14160304273.61795,2621566807.862586,5199304102.497308,-2577737294.6347218,1966175105.8969395
0000002969,5,2028,15325941367.883234,2837366938.798509,5627296440.02976,-2789929501.2312512,2128025204.0988817
0000002969,6,2024,15245275147.498264,2822432804.489619,5597677852.570313,-2775245048.0806947,2116824603.3672142
0000002969,6,2025,18828883228.35926,3485883802.126479,6913487727.593751,-3427603925.467272,2614412851.594859
0000002969,6,2026,17997800758.56105,3332021415.039314,6608335351.540224,-3276313936.5009103,2499016061.279485
0000002969,6,2027,23751271763.9251,4397189812.992703,8720863784.811354,-4323673971.81865,3297892359.744528
0000002969,6,2028,21091898335.999786,3904846924.4751344,7744409401.719793,-3839562477.244659,2928635193.356351
0000002969,7,2024,11276415509.012957,2087658290.3075016,4140413389.7537723,-2052755099.4462707,1565743717.730626
0000002969,7,2025,13002032390.679537,2407130234.7411227,4774016083.511095,-2366885848.7699723,1805347676.055842
0000002969,7,2026,13722115438.944296,2540442752.732171,5038412291.010467,-2497969538.2782955,1905332064.5491283
0000002969,7,2027,16591908931.658575,3071741743.2444406,6092127577.89089,-3020385834.6464496,2303806307.4333305
0000002969,7,2028,19960868566.51223,3695453817.865323,7329123994.929537,-3633670177.0642138,2771590363.3989925
0000002969,8,2024,14798630847.647242,2739743347.4846597,5433681409.012316,-2693938061.527656,2054807510.6134949
0000002969,8,2025,20245173375.86982,3748088566.1818666,7433513500.486041,-3685424934.3041744,2811066424.6364
0000002969,8,2026,27168691410.737396,5029873528.081517,9975653487.510752,-4945779959.4292345,3772405146.061138
0000002969,8,2027,38774323871.56104,7178481372.634161,14236946980.903965,-7058465608.269804,5383861029.47562
0000002969,8,2028,31374219382.116207,5808463615.290671,11519816551.54146,-5711352936.250789,4356347711.468003
0000002969,9,2024,19289285230.973156,3571120290.3405614,7082535650.204301,-3511415359.8637395,2678340217.755421
0000002969,9,2025,19398652348.829216,3591367963.024913,7122692478.30345,-3531324515.278537,2693525972.2686844
0000002969,9,2026,19567075926.380234,3622549048.68787,7184533338.555991,-3561984289.868121,2716911786.5159025
0000002969,9,2027,21046971995.839237,3896529490.055094,7727913590.5992565,-3831384100.5441628,2922397117.5413203
0000002969,9,2028,22530686312.829025,4171216822.3758936,8272695806.164459,-4101478983.7885656,3128412616.7819204
0000002969,10,2024,12109560868.27705,2241902590.272212,4446323206.428328,-2204420616.1561155,1681426942.704159
0000002969,10,2025,13198813656.979712,2443561318.860045,4846269166.877057,-2402707848.017012,1832670989.1450338
0000002969,10,2026,11909067511.601664,2204784268.5962853,4372707137.751899,-2167922869.1556134,1653588201.4472141
0000002969,10,2027,14615460958.54206,2705832204.602465,5366426077.666585,-2660593873.06412,2029374153.451849
0000002969,10,2028,17044097644.48536,3155457664.705634,6258159789.083099,-3102702124.3774652,2366593248.5292253
