CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,1,2024,14173588083.484205,2624026104.9479046,5204181580.113596,-2580155475.1656914,1968019578.7109284
0000002969,1,2025,17350058729.59915,3212101745.91555,6370500929.096627,-3158399183.181077,2409076309.4366627
0000002969,2,2024,12244669573.109085,2266915929.6183777,4495931691.510465,-2229015761.892087,1700186947.2137833
0000002969,2,2025,15798663174.730183,2924884252.991515,5800867881.87077,-2875983628.8792553,2193663189.743636
0000002969,3,2024,11377492075.305923,2106371092.3862002,4177526137.872644,-2071155045.4864438,1579778319.2896502
0000002969,3,2025,9917096804.494795,1836000929.8289685,3641306083.834501,-1805305154.0055323,1377000697.3717265
0000002969,4,2024,17440617950.00394,3228867419.997951,6403751974.912557,-3174884554.9146056,2421650564.998463
0000002969,4,2025,17346035075.17787,3211356826.973604,6369023545.381182,-3157666718.4075775,2408517620.230203
0000002969,5,2024,12255410934.79091,2268904530.7608533,4499875646.723544,-2230971115.962691,1701678398.07064
0000002969,5,2025,15033394801.359392,2783206353.423099,5519880770.556276,-2736674417.1331773,2087404765.0673242
0000002969,6,2024,15668934147.033209,2900866879.7447906,5753234677.6059065,-2852367797.861116,2175650159.808593
0000002969,6,2025,22915286027.79519,4242419660.082367,8413911053.888226,-4171491393.8058586,3181814745.061775
0000002969,7,2024,16855420355.301445,3120526909.7469583,6188882280.298936,-3068355370.5519776,2340395182.310219
0000002969,7,2025,14251803678.76426,2638506542.9724903,5232900360.272615,-2594393817.300125,1978879907.2293677
0000002969,8,2024,13002933161.21853,2407296998.82337,4774346823.576302,-2367049824.7529316,1805472749.1175275
0000002969,8,2025,15229514363.359894,2819514932.969017,5591890892.908587,-2772375959.9395704,2114636199.7267628
0000002969,9,2024,18190975487.07181,3367784803.070826,6679264205.824525,-3311479402.753699,2525838602.3031197
0000002969,9,2025,15320028220.576252,2836272208.7411284,5625125282.513806,-2788853073.772678,2127204156.5558462
0000002969,10,2024,14215750584.605207,2631831856.2467113,5219662579.731549,-2587830723.484838,1973873892.1850333
0000002969,10,2025,17194552366.53003,3183312087.730523,6313402941.945596,-3130090854.2150726,2387484065.7978926
0000002969,11,2024,14133964452.383474,2616690387.1488037,5189632789.087849,-2572942401.939045,1962517790.3616028
0000002969,11,2025,15682644057.44063,2903405062.91998,5758268608.519311,-2854863545.599331,2177553797.1899853
0000002969,12,2024,14063877742.38533,2603714889.6557345,5163898729.1564665,-2560183839.500732,1952786167.2418008
0000002969,12,2025,16198414529.0663,2998892188.250234,5947646426.767644,-2948754238.51741,2249169141.1876755
0000002969,13,2024,13182381130.478333,2440519084.370381,4840235560.479757,-2399716476.1093764,1830389313.2777858
0000002969,13,2025,14011952553.315462,2594101723.898331,5144833118.464972,-2550731394.5666404,1945576292.9237485
0000002969,14,2024,15109244473.00919,2797248776.364169,5547730843.645214,-2750482067.281045,2097936582.2731268
0000002969,14,2025,20011612037.482735,3704848206.336188,7347755708.746834,-3642907502.410646,2778636154.752141
0000002969,15,2024,15071041459.090975,2790176064.4144053,5533703667.16972,-2743527602.7553144,2092632048.310804
0000002969,15,2025,15474317103.39986,2864836468.8175273,5681776241.838818,-2816939773.0212903,2148627351.6131454
0000002969,16,2024,12622355958.770256,2336838868.6526484,4634608540.290055,-2297769671.637407,1752629151.4894862
0000002969,16,2025,16162069042.383753,2992163369.4578233,5934301287.117792,-2942137917.659969,2244122527.0933676
0000002969,17,2024,18133219197.378487,3357092096.9622846,6658057563.075541,-3300965466.113256,2517819072.7217135
0000002969,17,2025,15955528855.097395,2953925568.276642,5858464975.811316,-2904539407.5346737,2215444176.2074814
0000002969,18,2024,13474714428.17497,2494640186.238393,4947572923.056244,-2452932736.817851,1870980139.6787946
0000002969,18,2025,18526732911.108253,3429945227.122398,6802545804.758032,-3372600577.635634,2572458920.3417983
0000002969,19,2024,11161946255.47419,2066466034.1384633,4098383187.0099826,-2031917152.8715193,1549849525.6038475
0000002969,19,2025,11537349522.144295,2135966288.119523,4236221732.480028,-2100255444.360505,1601974716.0896423
0000002969,20,2024,13004536416.709604,2407593817.4014673,4774935498.275023,-2367341680.873556,1805695363.0511005
0000002969,20,2025,14319079825.530094,2650961707.0646067,5257602452.764478,-2606640745.699871,1988221280.298455
