CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,1,2024,12841005174.965206,2377318473.9397883,4714890979.480874,-2337572505.5410857,1782988855.4548411
0000002969,1,2025,11109163602.125456,2056694121.799845,4079002737.2121587,-2022308615.4123137,1542520591.3498838
0000002969,2,2024,13182054421.803358,2440458599.1857686,4840115601.35167,-2399657002.1659017,1830343949.3893266
0000002969,2,2025,17228718700.186935,3189637469.2004805,6325947951.948002,-3136310482.7475214,2392228101.90036
0000002969,3,2024,15914599220.587643,2946348063.6400623,5843436653.502115,-2897088589.862053,2209761047.7300467
0000002969,3,2025,19474955811.31444,3605494398.496285,7150709171.86231,-3545214773.3660254,2704120798.872214
0000002969,4,2024,17145840968.518059,3174293906.925561,6295517353.710471,-3121223446.78491,2380720430.194171
0000002969,4,2025,15404891763.21082,2851983413.971577,5656285020.104645,-2804301606.1330676,2138987560.478683
0000002969,5,2024,14113169327.241873,2612840483.30612,5181997347.266015,-2569156863.959895,1959630362.47959
0000002969,5,2025,15688670928.320538,2904520847.1820087,5760481522.443026,-2855960675.261017,2178390635.3865066
0000002969,6,2024,11981074323.256826,2218115243.9572377,4399146210.2472515,-2181030966.290014,1663586432.9679284
0000002969,6,2025,16141807743.893314,2988412295.5698357,5926861852.884763,-2938449557.314927,2241309221.6773767
0000002969,7,2024,19091173861.974796,3534442957.7641745,7009794186.90795,-3475351229.143776,2650832218.3231306
0000002969,7,2025,19202585953.495316,3555069226.485596,7050701877.40085,-3495632650.915254,2666301919.8641973
0000002969,8,2024,14932920169.58026,2764604990.4428463,5482989037.503658,-2718384047.060812,2073453742.8321347
0000002969,8,2025,15183789402.77767,2811049646.020592,5575101848.651635,-2764052202.631043,2108287234.5154443
0000002969,9,2024,13414013797.589664,2483402379.8124924,4925285193.108636,-2441882813.2961435,1862551784.8593693
0000002969,9,2025,12378777991.908812,2291744081.0893397,4545172896.965628,-2253428815.876288,1718808060.8170047
0000002969,10,2024,11535237505.643559,2135575280.1122797,4235446253.659472,-2099870973.5471923,1601681460.0842097
0000002969,10,2025,13611686037.114847,2519998414.188714,4997865419.21493,-2477867005.0262156,1889998810.6415355
0000002969,11,2024,13913885123.46064,2575946018.055288,5108825248.823674,-2532879230.7683864,1931959513.5414658
0000002969,11,2025,19423612237.29745,3595988909.995536,7131857115.447056,-3535868205.45152,2696991682.4966516
0000002969,12,2024,10461013563.268133,1936698915.7964737,3841018503.8971176,-1904319588.1006439,1452524186.8473554
0000002969,12,2025,11551490824.519464,2138584337.0124245,4241414059.568003,-2102829722.5555787,1603938252.7593184
0000002969,13,2024,10115113620.3785,1872660757.3219779,3714012829.6284986,-1841352072.3065207,1404495567.9914834
0000002969,13,2025,12215942754.589987,2261597592.3517504,4485383933.320247,-2223786340.9684963,1696198194.2638128
0000002969,14,2024,8223325663.216502,1522424744.014693,3019396337.167049,-1496971593.152356,1141818558.0110197
0000002969,14,2025,8400876108.0907755,1555295531.5351863,3084588351.307235,-1529292819.7720485,1166471648.6513896
0000002969,15,2024,15551716173.44801,2879165739.508108,5710195214.66983,-2831029475.161722,2159374304.631081
