API Key,depth,2023
CurrentFederalTaxExpenseBenefit,2,85600000
CurrentStateAndLocalTaxExpenseBenefit,2,28400000
DeferredFederalIncomeTaxExpenseBenefit,2,54700000
DeferredStateAndLocalIncomeTaxExpenseBenefit,2,-100000
NetIncomeLoss,2,2099100000
ProfitLoss,3,2114900000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,4,2044600000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5,2507400000
OperatingIncomeLoss,7,2281400000
Revenues,9,10323000000
CostOfGoodsAndServicesSold,10,7186100000
ResearchAndDevelopmentExpense,10,93500000
AmortizationOfIntangibleAssets,12,37200000
RestructuringCharges,11,0
BusinessExitCosts1,12,217600000
SeveranceCosts1,12,27000000
EnvironmentalRemediationExpense,12,18600000
EquityMethodInvestmentOtherThanTemporaryImpairment,12,14800000
AssetRetirementObligationAccretionExpense,11,11100000
SellingGeneralAndAdministrativeExpense,9,828400000
AllocatedShareBasedCompensationExpense,11,44500000
OperatingLeaseExpense,11,89500000
ProvisionForDoubtfulAccounts,9,2700000
GainLossOnDispositionOfAssets1,9,37200000
OtherNonoperatingIncomeExpense,8,73700000
IncomeLossFromEquityMethodInvestments,6,294100000
IncomeTaxExpenseBenefit,5,462800000
CurrentIncomeTaxExpenseBenefit,6,368800000
CurrentForeignTaxExpenseBenefit,7,254800000
CurrentFederalTaxExpenseBenefit,8,85600000
CurrentStateAndLocalTaxExpenseBenefit,8,28400000
DeferredIncomeTaxExpenseBenefit,6,94000000
DeferredForeignIncomeTaxExpenseBenefit,7,39400000
DeferredFederalIncomeTaxExpenseBenefit,8,54700000
DeferredStateAndLocalIncomeTaxExpenseBenefit,8,-100000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,6,11000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,6,-200000
IncomeLossFromDiscontinuedOperationsNetOfTax,4,70300000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,5,-19000000
NetIncomeLossAttributableToNoncontrollingInterest,3,15800000
