API Key,depth,2023
Assets,0,16038000000
AssetsCurrent,1,14861000000
CashAndCashEquivalentsAtCarryingValue,3,7378000000
ShortTermInvestments,3,2244000000
AccountsReceivableGrossCurrent,5,200000000
AllowanceForDoubtfulAccountsReceivableCurrent,5,39000000
FundsHeldForClients,2,4783000000
OperatingLeaseRightOfUseAsset,2,138000000
PropertyPlantAndEquipmentNet,2,121000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3,312000000
EquityMethodInvestments,5,14000000
IntangibleAssetsNetIncludingGoodwill,2,684000000
Goodwill,3,653000000
FiniteLivedIntangibleAssetsNet,4,34000000
FiniteLivedIntangibleAssetsAccumulatedAmortization,5,43000000
DeferredIncomeTaxAssetsNet,2,16000000
OtherAssetsNoncurrent,2,477000000
LiabilitiesAndStockholdersEquity,0,16038000000
Liabilities,1,10478000000
LiabilitiesCurrent,2,7978000000
AccountsPayableAndAccruedLiabilitiesCurrent,3,2013000000
AccountsPayableCurrent,4,137000000
OtherAccruedLiabilitiesCurrent,5,813000000
EmployeeRelatedLiabilitiesCurrent,5,380000000
DeferredRevenueCurrent,3,1182000000
LongTermDebtNoncurrent,4,1987000000
OtherLiabilitiesNoncurrent,4,218000000
OperatingLeaseLiabilityNoncurrent,4,295000000
StockholdersEquity,2,2901000000
CommonStockValue,3,0
AdditionalPaidInCapital,3,11557000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3,-32000000
RetainedEarningsAccumulatedDeficit,3,-5965000000
